,symbol,name,codename
420,SH600548,深高速,SH600548 深高速
421,SH600549,厦门钨业,SH600549 厦门钨业
422,SH600550,保变电气,SH600550 保变电气
423,SH600551,时代出版,SH600551 时代出版
424,SH600552,凯盛科技,SH600552 凯盛科技
425,SH600556,天下秀,SH600556 天下秀
426,SH600557,康缘药业,SH600557 康缘药业
427,SH600558,大西洋,SH600558 大西洋
428,SH600559,老白干酒,SH600559 老白干酒
429,SH600560,金自天正,SH600560 金自天正
430,SH600561,江西长运,SH600561 江西长运
431,SH600562,国睿科技,SH600562 国睿科技
432,SH600563,法拉电子,SH600563 法拉电子
433,SH600565,迪马股份,SH600565 迪马股份
434,SH600566,济川药业,SH600566 济川药业
435,SH600567,山鹰国际,SH600567 山鹰国际
436,SH600568,ST中珠,SH600568 ST中珠
437,SH600569,安阳钢铁,SH600569 安阳钢铁
438,SH600570,恒生电子,SH600570 恒生电子
439,SH600571,信雅达,SH600571 信雅达
440,SH600572,康恩贝,SH600572 康恩贝
441,SH600573,惠泉啤酒,SH600573 惠泉啤酒
442,SH600575,淮河能源,SH600575 淮河能源
443,SH600576,祥源文旅,SH600576 祥源文旅
444,SH600577,精达股份,SH600577 精达股份
445,SH600578,京能电力,SH600578 京能电力
446,SH600579,克劳斯,SH600579 克劳斯
447,SH600580,卧龙电驱,SH600580 卧龙电驱
448,SH600581,八一钢铁,SH600581 八一钢铁
449,SH600582,天地科技,SH600582 天地科技
450,SH600583,海油工程,SH600583 海油工程
451,SH600584,长电科技,SH600584 长电科技
452,SH600585,海螺水泥,SH600585 海螺水泥
453,SH600586,金晶科技,SH600586 金晶科技
454,SH600587,新华医疗,SH600587 新华医疗
455,SH600588,用友网络,SH600588 用友网络
456,SH600589,ST榕泰,SH600589 ST榕泰
457,SH600590,泰豪科技,SH600590 泰豪科技
458,SH600592,龙溪股份,SH600592 龙溪股份
459,SH600594,益佰制药,SH600594 益佰制药
460,SH600595,中孚实业,SH600595 中孚实业
461,SH600596,新安股份,SH600596 新安股份
462,SH600597,光明乳业,SH600597 光明乳业
463,SH600598,北大荒,SH600598 北大荒
464,SH600599,ST熊猫,SH600599 ST熊猫
465,SH600600,青岛啤酒,SH600600 青岛啤酒
466,SH600601,*ST方科,SH600601 *ST方科
467,SH600602,云赛智联,SH600602 云赛智联
468,SH600603,广汇物流,SH600603 广汇物流
469,SH600604,市北高新,SH600604 市北高新
470,SH600605,汇通能源,SH600605 汇通能源
471,SH600606,绿地控股,SH600606 绿地控股
472,SH600608,ST沪科,SH600608 ST沪科
473,SH600609,金杯汽车,SH600609 金杯汽车
474,SH600610,中毅达,SH600610 中毅达
475,SH600611,大众交通,SH600611 大众交通
476,SH600612,老凤祥,SH600612 老凤祥
477,SH600613,神奇制药,SH600613 神奇制药
478,SH600616,金枫酒业,SH600616 金枫酒业
479,SH600617,国新能源,SH600617 国新能源
480,SH600618,氯碱化工,SH600618 氯碱化工
481,SH600619,海立股份,SH600619 海立股份
482,SH600620,天宸股份,SH600620 天宸股份
483,SH600621,华鑫股份,SH600621 华鑫股份
484,SH600622,光大嘉宝,SH600622 光大嘉宝
485,SH600623,华谊集团,SH600623 华谊集团
486,SH600624,复旦复华,SH600624 复旦复华
487,SH600626,申达股份,SH600626 申达股份
488,SH600628,新世界,SH600628 新世界
489,SH600629,华建集团,SH600629 华建集团
490,SH600630,龙头股份,SH600630 龙头股份
491,SH600635,大众公用,SH600635 大众公用
492,SH600637,东方明珠,SH600637 东方明珠
493,SH600638,新黄浦,SH600638 新黄浦
494,SH600639,浦东金桥,SH600639 浦东金桥
495,SH600640,国脉文化,SH600640 国脉文化
496,SH600641,万业企业,SH600641 万业企业
497,SH600642,申能股份,SH600642 申能股份
498,SH600643,爱建集团,SH600643 爱建集团
499,SH600644,乐山电力,SH600644 乐山电力
500,SH600645,中源协和,SH600645 中源协和
501,SH600647,同达创业,SH600647 同达创业
502,SH600648,外高桥,SH600648 外高桥
503,SH600649,城投控股,SH600649 城投控股
504,SH600650,锦江在线,SH600650 锦江在线
505,SH600651,飞乐音响,SH600651 飞乐音响
506,SH600653,申华控股,SH600653 申华控股
507,SH600654,*ST中安,SH600654 *ST中安
508,SH600655,豫园股份,SH600655 豫园股份
509,SH600657,信达地产,SH600657 信达地产
510,SH600658,电子城,SH600658 电子城
511,SH600660,福耀玻璃,SH600660 福耀玻璃
512,SH600661,昂立教育,SH600661 昂立教育
513,SH600662,外服控股,SH600662 外服控股
514,SH600663,陆家嘴,SH600663 陆家嘴
515,SH600664,哈药股份,SH600664 哈药股份
516,SH600665,天地源,SH600665 天地源
517,SH600666,*ST瑞德,SH600666 *ST瑞德
518,SH600667,太极实业,SH600667 太极实业
519,SH600668,尖峰集团,SH600668 尖峰集团
520,SH600671,ST目药,SH600671 ST目药
521,SH600673,东阳光,SH600673 东阳光
522,SH600674,川投能源,SH600674 川投能源
523,SH600675,中华企业,SH600675 中华企业
524,SH600676,交运股份,SH600676 交运股份
525,SH600678,四川金顶,SH600678 四川金顶
526,SH600679,上海凤凰,SH600679 上海凤凰
527,SH600681,百川能源,SH600681 百川能源
528,SH600682,南京新百,SH600682 南京新百
529,SH600683,京投发展,SH600683 京投发展
530,SH600684,珠江股份,SH600684 珠江股份
531,SH600685,中船防务,SH600685 中船防务
532,SH600686,金龙汽车,SH600686 金龙汽车
533,SH600688,上海石化,SH600688 上海石化
534,SH600689,上海三毛,SH600689 上海三毛
535,SH600690,海尔智家,SH600690 海尔智家
536,SH600691,阳煤化工,SH600691 阳煤化工
537,SH600692,亚通股份,SH600692 亚通股份
538,SH600693,东百集团,SH600693 东百集团
539,SH600694,大商股份,SH600694 大商股份
540,SH600696,岩石股份,SH600696 岩石股份
541,SH600697,欧亚集团,SH600697 欧亚集团
542,SH600698,湖南天雁,SH600698 湖南天雁
543,SH600699,均胜电子,SH600699 均胜电子
544,SH600702,舍得酒业,SH600702 舍得酒业
545,SH600703,三安光电,SH600703 三安光电
546,SH600704,物产中大,SH600704 物产中大
547,SH600705,中航产融,SH600705 中航产融
548,SH600706,曲江文旅,SH600706 曲江文旅
549,SH600707,彩虹股份,SH600707 彩虹股份
550,SH600708,光明地产,SH600708 光明地产
551,SH600710,苏美达,SH600710 苏美达
552,SH600711,盛屯矿业,SH600711 盛屯矿业
553,SH600712,南宁百货,SH600712 南宁百货
554,SH600713,南京医药,SH600713 南京医药
555,SH600714,金瑞矿业,SH600714 金瑞矿业
556,SH600715,文投控股,SH600715 文投控股
557,SH600716,凤凰股份,SH600716 凤凰股份
558,SH600717,天津港,SH600717 天津港
559,SH600718,东软集团,SH600718 东软集团
560,SH600719,大连热电,SH600719 大连热电
561,SH600720,祁连山,SH600720 祁连山
562,SH600721,百花医药,SH600721 百花医药
563,SH600722,金牛化工,SH600722 金牛化工
564,SH600724,宁波富达,SH600724 宁波富达
565,SH600725,云维股份,SH600725 云维股份
566,SH600726,*ST华源,SH600726 *ST华源
567,SH600727,鲁北化工,SH600727 鲁北化工
568,SH600728,佳都科技,SH600728 佳都科技
569,SH600729,重庆百货,SH600729 重庆百货
570,SH600730,中国高科,SH600730 中国高科
571,SH600731,湖南海利,SH600731 湖南海利
572,SH600732,爱旭股份,SH600732 爱旭股份
573,SH600733,北汽蓝谷,SH600733 北汽蓝谷
574,SH600734,ST实达,SH600734 ST实达
575,SH600735,新华锦,SH600735 新华锦
576,SH600736,苏州高新,SH600736 苏州高新
577,SH600737,中粮糖业,SH600737 中粮糖业
578,SH600738,丽尚国潮,SH600738 丽尚国潮
579,SH600739,辽宁成大,SH600739 辽宁成大
580,SH600740,山西焦化,SH600740 山西焦化
581,SH600741,华域汽车,SH600741 华域汽车
582,SH600742,一汽富维,SH600742 一汽富维
583,SH600744,华银电力,SH600744 华银电力
584,SH600745,闻泰科技,SH600745 闻泰科技
585,SH600746,江苏索普,SH600746 江苏索普
586,SH600748,上实发展,SH600748 上实发展
587,SH600749,西藏旅游,SH600749 西藏旅游
